,users,yields,followers
3481,Baben777,-50.42,3
3482,02101983,-1.02,0
3483,Volkov_N,-96.04,4
3484,Stanislav25,0.48,54
3485,Kuzrik,4.11,1
3486,Maksimkedr,-94.37,5
3487,gizazu,-3.31,2
3488,Dmitr2023,0.0,10
3489,Nekit_invest,4.81,0
3490,kenjinn,-8.62,0
3491,Koropet,15.52,9
3492,Yan_nechiporenko,21.09,1
3493,XOMADOMA,-32.67,5
3494,alexsaratov,41.08,0
3495,YaNeToRgYou,224.84,11
3496,Koretskiy72,-1.58,3
3497,MillionerIzTrusheb,5.73,5
3498,Dracondar,-7.54,2
3499,Dolgoy,13.47,4
3500,Yarikadze,42.49,5
3501,Nikm100,38.63,0
3502,tatusya88,-22.16,1
3503,dr.Sklifasovsky,-30.73,5
3504,Trafikz,0.0,0
3505,Nastya1701,-0.3,2
3506,SkylineTMB,-13.94,0
3507,HoolyNam,-2.4,2
3508,rouge60,0.0,0
3509,RomanRanniy,0.0,614
3510,set888set,0.0,0
3511,AnidrielMenzo,37.41,2
3512,KristinaAV,0.0,0
3513,Mr.Traider,-227.49,58
3514,babun3,55.38,1
3515,inspecgran,53.6,58
3516,AS_SM,38.7,2
3517,xRen4,-21.37,5
3518,Burtas,18.89,0
3519,Antonio__Montana,94.8,2
3520,gameoftrone2021,110.68,2
3521,Anatol1977,34.93,0
3522,vk__,-0.69,0
3523,ShedEvening,-0.06,1
3524,HanYur,11.98,25
3525,Tylench1k,-2.14,0
3526,_Ouroboros_,45.09,262
3527,BY_JULLA,-43.21,18
3528,Dezhkin787,-15.83,1
3529,rustypro,-50.38,7
3530,1Nura,50.05,5
3531,Zizu13,-5.48,183
3532,lutik,-2.22,6
3533,mishga_N,-34.66,32
3534,money_is_honey,-4.16,15
3535,Esidett,-76.77,10
3536,Goooki,8.55,6
3537,Muslim43,-84.47,35
3538,andvdov,41.41,123
3539,Memestor,-20.42,6
3540,Vit0s,37.38,73
3541,Andreyfox2205,30.19,4
3542,PapiNalichka,0.0,0
3543,Apsalem,-124.62,4
3544,kotsinyan,0.0,0
3545,Mihail336,0.0,0
3546,Operator_News,0.0,0
3547,Wrot,-41.47,86
3548,Artyushin,-2.93,0
3549,moti1,0.0,1
3550,Maksik190789,1.93,0
3551,senCretor,-209.22,4
3552,And2013g,15.41,3
3553,VladCov,-90.32,1
3554,amg7777,-1.57,206
3555,Angakuit,0.0,0
3556,mariya_zori,-101.6,0
3557,Dmitri7269,35.23,2
3558,aku1ka,-17.21,0
3559,nuf_nuf,31.64,0
3560,BirjevoyBik_Mason,0.0,0
3561,InvestingSon,31.45,2
3562,AndreyNightly,0.4,1
3563,DrAlex519,7.12,0
3564,Tradesistem,0.0,0
3565,faktorrosta,105.41,0
3566,Stran1x,30.34,1
3567,Dj_K0paTych,146.02,5
3568,Avdiees,10.5,0
3569,AMR.investor,83.15,9
3570,QuasarNova,-54.55,0
3571,wzzzw,25.54,1
3572,Stsnis,-7.18,11
3573,ilya2207,47.88,0
3574,Vladislav0_o,36.6,2
3575,ogno,9.73,0
3576,Alina_Li,-67.34,0
3577,B.I.I,-26.82,9
3578,Sherbe.t,10.29,9
3579,Birzhevoi_Stakan,-16.29,345
3580,tungljnh,2.16,0
3581,DMITRY_KUZMINSKY_ATON,10.18,33
3582,bonzo777,-5.84,6
3583,rostomik,5.51,8
3584,serg123rus,0.4,5
3585,antikvarbuk,-90.99,1
3586,InvestKULAK,2.59,1
3587,ChaosMake,25.12,81
3588,Multipeka,-12.88,2
3589,beginbeganbegun,33.87,39
3590,Nyaz,5.57,2
3591,Lasvind,0.0,0
3592,CabanOG,-1.57,0
3593,Abyzouth,15.54,104
3594,Garada,0.0,1
3595,Mirkon,12.97,0
3596,Gmbh,-51.65,0
3597,Upward.movement,0.0,0
3598,Murom862,0.0,0
3599,Yulenka2023,-87.77,20
3600,8Eugene8,6.35,4
3601,odissey86,-184.79,3
3602,vanobarsik,-1.47,0
3603,Kischaev,-32.95,0
3604,mr.sokhryakov,17.71,4
3605,MT_1,-0.68,3
3606,grili23,0.34,0
3607,Vezynhik_x,-40.87,33
3608,RomanK85,22.08,2
3609,UXUEM100500,-47.62,2
3610,Petruch0,35.98,1
3611,KrasavchikNiki,4.59,2
3612,litelny,0.0,0
3613,MDKT,37.23,3
3614,EvgenOnegin,10.75,1
3615,Alekseev.Kirill,-39.63,0
3616,Spatz,10.18,0
3617,Anna_Gerc,-30.47,2
3618,kindprince,-2.84,0
3619,Geform,-38.52,0
3620,drVerde,0.0,1
3621,Shothm,-9.03,4
3622,In_corde_solis,82.41,598
3623,Tuimakhol,0.0,0
3624,gm_investor,8.98,1
3625,alexbeli,12.44,13
3626,Greedy_23,-8.87,8
3627,KawaSania,-18.92,4
3628,Nail261184,0.0,0
3629,Leo_Nardo,58.36,1
3630,Newel,20.87,42
3631,Dimatisho,0.45,0
3632,Sakov17,20.91,1
3633,akyla1791,2.15,0
3634,ATLANT,-111.5,4
3635,vikkingg,6.4,378
3636,Serebryakov_iz_Kungura,-148.43,18
3637,The_Cat_of_Wall_Street,4.53,8
3638,sashok174,15.97,5
3639,p.f_production,5.07,1
3640,kefir23rus,74.73,0
3641,NicoInvest,-36.85,0
3642,KISELEF,4.58,1
3643,areskull,41.05,0
3644,xzmbvp,54.83,35
3645,Cygnus,-86.15,3
3646,xonda1337,-4.87,1
3647,lisalisatyjki,-86.01,1
3648,jontan,16.87,1
3649,Iskra98,0.0,0
3650,dimarik27,113.78,583
3651,MC_Donald,5.83,13
3652,GazizovShamil,21.12,8
3653,Mr.Noctua,26.67,898
3654,GameBreaker,-170.21,3
3655,PeWpEw66,22.55,7
3656,karavaje,726.42,7
3657,Dolphin777,-45.06,19
3658,Awaee,-42.84,31
3659,Jeremiah_Saint,38.37,8
3660,Atmosfera05,-1.94,0
3661,Andrey_Parygin,32.3,6
3662,Yaradorn,-20.99,3
3663,Alb_66,2.35,1
3664,Beguhii_po_Grabliam,39.26,18
3665,wolf05,7.95,1
3666,RSV_IDEA,-31.6,590
3667,Djumanji,-26.85,99
3668,Natilu33,-15.31,12
3669,serg.shekin,22.05,3
3670,KoplyNaDom,-31.18,11
3671,nakimuro,1.14,0
3672,TanchikHsv,0.0,0
3673,Gashar,-8.93,3
3674,zxarts,2.41,2
3675,bukbul,-27.56,0
3676,Faly_Red,-19.72,0
3677,Fendead,-100.64,0
3678,badidea,-186.09,0
3679,Helen056,-108.83,1
3680,Belolipa,50.41,4
3681,YURI_M,-102.21,9
3682,seegaa,479.39,16
3683,ALEKO13,44.43,0
3684,lololoshka_,22.04,2
3685,dant1stt,-0.76,12
3686,Ceed152,39.66,0
3687,Rico02,38.32,0
3688,qwerty095,-8.06,8
3689,Axit,74.87,14
3690,Yuri_Bob,-119.67,2
3691,BobbiS,0.0,0
3692,ctVoll,-133.54,125
3693,Skobelev_sk,6.36,0
3694,Blackberet,-42.9,5
3695,Termaeus,3.79,4
3696,PROMANEY,106.13,38
3697,m.corle0ne,36.29,2
3698,Bee124,72.65,182
3699,Anton_Yanyk,-36.51,4
3700,jumanji2,22.61,1
3701,oracull,11.25,19
3702,mehanik51,16.41,15
3703,Neist_Point,0.0,0
3704,1torguev,21.62,27
3705,Njmka,0.0,0
3706,bwhhr,7.73,0
3707,L0rdFlacko,20.65,2
3708,Leontess,-48.03,36
3709,Ibiorio,26.28,0
3710,MikhailKush,-41.4,2
3711,Irina_Matveeva,24.42,13
3712,DrillingInvestmen,-8.44,3
3713,Chegoshev.VA,3.77,3
3714,Jimbo3991,0.0,0
3715,Eduoch,-22.58,2
3716,INVESTINGSHARK,-12.29,1
3717,BoJIK_c_KykanStreet,70.88,449
3718,stanislav.123,43.23,0
3719,artem_indig0,3.8,1
3720,Mr.Alex1,-5.72,10
3721,Lamperouge,0.22,3
3722,sh1ma,0.0,2
3723,Fazdat,-2.52,1
3724,Homyackk,175.21,30
3725,Kirilli_ka,79.8,1
3726,maxfukctor,37.06,5
3727,Marine189,0.33,26
3728,Professor_Moriarty69,28.94,5
3729,maksim123,39.23,4
3730,H3nness1,14.21,0
3731,WowTothemoon,0.0,0
3732,Chudotvorets_Nikola,16.42,51
3733,Vsv7,38.18,1054
3734,smkazzz,30.27,0
3735,ProfitDJ,16.9,43
3736,Kartikart,32.65,2
3737,a41o4,0.0,0
3738,Masishka,28.82,10
3739,Chepalaha,-51.1,0
3740,lubaha,0.0,0
3741,Stuff123,13.36,8
3742,cherrybluezz,18.29,6
3743,nikowps,0.0,0
3744,investprofiile,-46.95,0
3745,leta1,23.03,37
3746,Stanle92,63.0,0
3747,UncleNaro,34.25,13
3748,Legend1407,171.02,2
3749,Beginner,-9.54,39
3750,ZHURAVA.V,-92.13,30
3751,BigShapa,17.58,1
3752,Ilgy,19.29,3
3753,Romany2024,0.0,0
3754,Sofia_sofa,25.42,1
3755,Alenka_2000,-23.28,47
3756,TvoyPapochka,2.97,1
3757,Anyuta71,0.0,0
3758,EvgeniyRocket,-8.05,4
3759,alukard666,28.21,13
3760,abobastonks,-29.34,2
3761,Princ,-12.16,49
3762,essssssssssssssp,-116.47,0
3763,ARTmod,28.9,1
3764,zud01,0.0,0
3765,MoneyDoesNotSleep,14.51,2
3766,Grirdon,-122.03,1
3767,Rhino74,2.89,2
3768,thinkdif,-158.61,1
3769,angelinalopp,69.61,58
3770,jamas,-60.08,2
3771,Prorvemcy,13.35,3
3772,Max.Maklai,0.15,1
3773,Ardenn,13.83,3
3774,KerkWolf,17.86,1
3775,Vluid,-41.25,5
3776,Maks_kors,-10.86,0
3777,to_the_moon__,0.0,0
3778,BallsToTheWall,1.69,9
3779,profi85,0.0,0
3780,b_temir,16.15,0
3781,yesinvest,17.75,0
3782,Nikita_Upivanov,1.65,1
3783,Papirrus,34.96,3
3784,EyeOfStock,97.4,583
3785,Vlad88888888,0.0,0
3786,HamER163,-119.66,36
3787,Sweetbo,-93.18,1
3788,Glazznoy,0.0,0
3789,bindsell,-15.3,7
3790,Geks4,-9.44,0
3791,Invest_the_best,-77.52,15
3792,GoldenKlim,10.5,98
3793,Kcenia_1995,6.6,4
3794,greengott,15.32,0
3795,Nik737,21.37,3
3796,Mr.5,24.8,13
3797,Lucky16,-142.34,104
3798,XIIILF,-186.85,15
3799,FunnyTrader,108.37,3
3800,AlexSev,21.76,1
3801,SergiVisco,-13.16,0
3802,kloninga,25.02,0
3803,Annanonika,-3.12,1
3804,Darlingsurgut,42.41,27
3805,kk02,20.95,0
3806,Blondi2.0,-124.48,0
3807,maxlmka_05,-88.59,2
3808,Kravcha1007,-11.02,5
3809,Kasimka,42.85,0
3810,pytd,-39.22,2
3811,Silver_shekeL,-0.79,34
3812,Mr.nest,6.58,4
3813,1mpuls2,6.38,5
3814,BETEP87,-104.93,0
3815,Aleksei777,-119.38,1
3816,shivantyai,3.41,5
3817,JohnnyUragan,37.19,0
3818,Alex_Unknown.ru,-0.58,0
3819,mobilis5,-9.6,0
3820,Feroxsu,43.99,7
3821,mr.olkhon,11.74,2
3822,romario661,31.06,0
3823,tohA89,36.46,0
3824,alexmal666,2.28,9
3825,Stop__Loss,-31.84,34
3826,SergoSalavat,0.0,0
3827,Romashka70,-85.76,1
3828,__Nagloy__,35.29,13
3829,DenegNet.com,-21.6,53
3830,renbich,119.17,3
3831,akaTrikS,28.29,6
3832,Alex_Megamozg_Invest88,79.13,575
3833,RAKAMI,0.56,1545
3834,Vitus87,-44.52,6
3835,justbro,43.18,1
3836,Amogus33,2.1,0
3837,goodpof,7.13,0
3838,labukin,51.15,13
3839,TOP_TRADES_TRAFFIC,10.71,1297
3840,AlcoTrust,-30.68,0
3841,Kristina.Vilisova,21.74,4
3842,Ferropontiy,-37.16,5
3843,Gr0ny,20.45,2
3844,Amil1986,0.0,0
3845,1983alexey1983,9.03,0
3846,Dimi81,35.92,13
3847,MisterDjiv,0.0,1
3848,balashov7,125.58,0
3849,ElizavetaBl,51.01,17
3850,SerNeizvetnyi,38.53,1
3851,igor2020,57.09,178
3852,falinmen,16.82,3
3853,faSandra,-44.57,1
3854,hhhooo,0.0,0
3855,26Fox,56.64,4
3856,ya.skater007,20.75,26
3857,Been_Pokemon,-12.21,3
3858,Sp1rit,28.12,8
3859,AUStar,20.41,1
3860,lyd333,0.0,0
3861,AlexMishKing,31.22,11
3862,AleksandrFilatov,22.6,0
3863,Investigation0824,-23.5,0
3864,ViktorSoberov,29.58,1
3865,tinhaer,97.99,14
3866,VadimCh88,-22.34,2
3867,chertik05,-317.38,15
3868,www.yehey73,-268.8,19
3869,Denejka2022,0.0,0
3870,deadpoolKBR,-4.92,21
3871,Raketa0007,-184.9,8
3872,DIRECTOR_INVEST,-0.83,1
3873,h.dankon,8.73,2
3874,Makspara,29.04,0
3875,TimurRikkert,9.83,5829
3876,Tech_Graph,0.0,2
3877,Sans_84,-56.31,1
3878,Anastasia.93,37.69,225
3879,mad_max_invest,0.0,0
3880,Komosabe,26.11,0
3881,BONDprostoBOND,0.0,0
3882,Iamalek,-17.59,44
3883,belovsky,20.93,3
3884,Crizaliks,34.5,3
3885,Gilza45,-33.43,119
3886,RaxatRaxat,22.16,3
3887,Kakogohrena,89.32,9
3888,animeboyadya,29.72,0
3889,ANGI777,18.1,13
3890,Inna_space,26.62,0
3891,ignat9,30.01,0
3892,SergeyDoP,-59.89,11
3893,GreenMcLaren,31.81,27
3894,theenick,10.42,2
3895,jolySS,-5.98,2
3896,Turof,-140.28,1
3897,Sych_,5.78,5
3898,Milyi_kotik,32.55,0
3899,monetae,25.51,5
3900,fely,14.66,0
3901,SaintDude,-0.96,1
3902,SuetologShlakov,0.0,0
3903,Rembo90,0.0,0
3904,sava556,52.82,0
3905,LenaAfon,-24.24,0
3906,Krasava7,88.52,102
3907,argusnon,-45.29,16
3908,Sanek0486,56.33,0
3909,petrov.m,35.77,5
3910,Xan_off,40.21,1
3911,Saw_fish,-18.65,0
3912,TS_tv,-45.2,1
3913,DenisVolopas45,25.96,2
3914,inochkinalexandr,82.43,1
3915,NamN,0.0,1
3916,yakovv77721,-36.2,513
3917,BORIS.VARENIKOV,-81.02,26
3918,Lehaiman,26.09,0
3919,Jane25,21.79,2
3920,Kotyatkin,42.71,483
3921,Uri111,15.04,8
3922,Fiatorium,23.69,693
3923,MisterLucky,133.66,23
3924,Daun,22.25,1
3925,Tattmakk,16.88,4
3926,Sergey1441,3.69,3
3927,zakariyah,1.32,0
3928,37A_korral_37A,-87.78,1
3929,sergei_05_1980,-22.69,0
3930,Borisovitc,13.51,19
3931,Valentin_S,35.82,0
3932,PMC_Wagner,-56.57,2
3933,RTDE,-15.49,43
3934,Joker_smr,50.54,1
3935,gulegin,1.37,0
3936,Udjin1986,6.2,38
3937,PavelKruchkov,37.64,3
3938,Tochka_Bxoda,10.57,72
3939,max_suvorov,11.34,10
3940,ZzzRzzZ,4.24,30
3941,MobileClinic86,-273.28,4
3942,pes228,0.0,0
3943,Leman57,-16.11,7
3944,bloodins1de,36.5,5
3945,NaDja1256,3.32,24
3946,Svet1love,0.0,1
3947,Polonnikov,-23.43,41
3948,Srept23,-0.4,0
3949,Mep3Kuu_DoKTop,-40.0,0
3950,Tima.V,-276.8,43
3951,FerrariCalifornia,0.0,0
3952,Vital717717,32.03,1
3953,AleksandrVerhovskiy,14.68,1
3954,tviixx,24.79,1
3955,Shalashnikov,-112.93,14
3956,noo2,-5.04,0
3957,Scrooge_Mc.Duck_,35.31,10
3958,qwerty142,18.46,3
3959,Invest_aggregator,67.95,6
3960,Remi.Hayabusa,-52.65,4
3961,Astron_Martin,1.34,1
3962,Nniks,19.36,35
3963,Toha13,25.4,0
3964,VladimirSun,29.75,2
3965,Max_W,232.95,1
3966,Anhelos,2.81,2
3967,infondango,217.52,1
3968,MDN_123,-5.85,0
3969,Aydar__kh,30.15,4
3970,pablo_cartel_escobar14,21.0,2
3971,burevestn1k,48.81,4
3972,Projekto_De_Esperanto,-122.66,3
3973,Musschina,12.57,24
3974,Free_Premium,-1.03,13
3975,VPN.invest,0.0,0
3976,DmGWT,8.34,30
3977,iop522811,-34.53,7
3978,Makczhel,-74.55,2
3979,InvestingAsHobby_Telegram,269.8,2295
3980,AndrewKlime,76.27,11
3981,JuNGaRiK_KoRoJl,-91.5,11
3982,Ghnbgt,0.0,0
3983,VictorMateo,6.92,31
3984,Julymir,25.34,0
3985,AlinaFURIA,-5.85,1
3986,vjlopatin,45.16,5
3987,oil.oil,7.16,8
3988,dobydy,-14.21,2
3989,pelmenex,-99.08,0
3990,MOEX_IAZ,0.0,0
3991,aprelmgg,-114.6,4
3992,just_smile,-335.06,0
3993,dalmatov_14,-0.77,0
3994,aculca,81.71,15
3995,anatolich61,33.8,7
3996,Deus_Successu,-227.7,9
3997,stillnoone,-1.65,0
3998,mrstaff,13.39,1
3999,Voxa,20.33,3
4000,Quske,34.31,1
4001,Lakshmi_Avatar,18.61,6
4002,Dima2134,20.75,0
4003,Vrednayaya,233.37,24
4004,olevanzh,0.0,1
4005,VitUrzh,51.82,0
4006,lunmurai,-12.07,2
4007,TemaGord,0.0,0
4008,8ac9,-0.97,0
4009,BezT,13.48,0
4010,Lanika,20.15,275
4011,Roman49,-68.57,1
4012,johnyjohn,-6.41,0
4013,KenDiK,0.0,0
4014,_evgeniy_26,0.46,1
4015,KSASDW,81.7,6
4016,ATLANT31,10.59,0
4017,A.steysi,-3.63,0
4018,Wiruchikupi,0.0,2
4019,foxwwweb,43.23,16
4020,shliutoff1980,2.54,40
4021,markovandrei,-4.46,0
4022,Levvis,-6.82,1
4023,megabitt,20.24,0
4024,TiDi_CorpBonds,58.31,8166
4025,eyfsts_tm1,12.91,0
4026,Alex45ru,-6.65,15
4027,Gorezones,0.0,0
4028,ae.betelgeuse,21.91,4
4029,Orakul13,38.0,3
4030,Lary,28.45,8533
4031,BOO2020,-32.85,2
4032,Egor_Ksenon,-72.19,3
4033,hun7er,44.77,0
4034,Ridzin4i,-213.08,3
4035,mrkaraeff,-33.12,1
4036,igtsl,17.97,0
4037,Garamax,-121.49,5
4038,KOT_IMOEX,6.22,2
4039,NeprostoNastya,0.0,0
4040,Maks_skaM,41.44,1
4041,ArturInc,5.56,1
4042,SandersB,-6.28,3
4043,LenaMarakesh,-8.53,5
4044,Maksimka198,1.99,2
4045,kadikar,16.54,9
4046,Gambit,16.22,6
4047,VKpro,8.12,1
4048,oldmen1,21.22,50
4049,MaxTrip,23.5,4
4050,biamot,27.73,1
4051,Nadegda2011,7.49,0
4052,POlesia,-55.76,2
4053,Giivi,-49.48,2
4054,niki.dv,-63.13,0
4055,aysenn,25.68,0
4056,Zevs15kk,31.12,0
4057,Capitaller,4.95,2
4058,Tkemali,32.19,2
4059,Trosthold,65.29,0
4060,ramazanvv,0.73,1
4061,dariatom,36.39,193
4062,GlockidMMW,7.63,0
4063,biznesPlus7,11.09,69
4064,Georgy7109,-42.06,1
4065,Pruzhinka2023,-1.17,3
4066,ITAKDALEE,12.88,0
4067,Cra3y01,0.0,0
4068,VseOKOK,-9.25,1
4069,FerzZZik,-6.37,14
4070,Phil_Mahart,5.82,0
4071,Chief_Oldman,6.14,2
4072,mozg35,29.34,17
4073,Rastrygin48,41.99,2
4074,Momer,-212.31,1
4075,MIHAEL12,1.54,18
4076,podluka,46.9,8224
4077,Wowal1972,6.45,2
4078,FerFest,83.06,25
4079,PavelTsomaev,0.0,0
4080,veravazova15,-1.0,0
4081,Kopernik24,27.04,0
4082,Fluida,1011.26,10
4083,PashaZ0r,30.95,164
4084,kseh,4.33,4
4085,varyag1982ru,-30.05,22
4086,evgenijglazkov,2.42,47
4087,bookofsky,5.94,1
4088,bruhember,1.83,0
4089,RokeAlva,-2.44,1
4090,NotSoGood,3.6,1
4091,weevil,-46.1,12
4092,HURACHER,-24.67,1
4093,Mamkin.Speculator,-0.61,0
4094,MasterSchem,126.66,429
4095,Sparkinson,48.19,0
4096,Vezunchiki777,0.0,0
4097,Platinacf,-16.49,10
4098,Kaluvictorgin,14.21,2
4099,Serebro174,23.71,0
4100,kingDM_552,-0.51,0
4101,Mokara,24.63,3
4102,Trustzone5,-143.51,157
4103,Tison1705,33.96,1
4104,Favn777,-46.33,1
4105,DawaN,37.83,2
4106,KeeRi,17.37,10
4107,AirMikhail,7.56,1
4108,Vad1k1k1k,62.52,14
4109,kkonstantinn,40.04,0
4110,Volodyagg,-2.56,12
4111,F88,73.71,7
4112,s_kiryan,9.46,1
4113,tania.invest,13.64,108
4114,Goga03,-0.87,1
4115,denman84,44.19,0
4116,Investor35,13.24,8
4117,Vladimir132,24.4,43
4118,Randhell,-186.37,15
4119,MoneyInMyMind,52.6,0
4120,Investokrat,-35.47,72715
4121,Reques,-6.16,0
4122,AnatolyParovozov,-24.12,1
4123,Multimillionaire1,-108.53,43
4124,lodir83,44.65,1
4125,conservativeinvestor,36.87,586
4126,Trionis,-272.61,2
4127,SabrinaA,27.97,10
4128,TEXTRANSENERGO,198.19,4
4129,andrey2902,2.94,0
4130,dvrs,-0.48,1
4131,11Mark_6,4.03,0
4132,Tratataaa,37.86,0
4133,AlekseiBogomiagkov,11.07,8
4134,ZloiHomyak13,15.69,21
4135,Babijon_invest,-2.29,6
4136,nikitas1,-47.36,5
4137,XxinvestXx,-0.04,0
4138,Assenari,13.75,23
4139,AleXes77,5.22,15
4140,CutieCat,0.0,0
4141,Invincible_noob,-17.11,4
4142,DANSHIN.D,40.99,5
4143,VuktopoVu4,1.24,0
4144,Gazprom13,38.23,4
4145,sevenoneseven,0.03,0
4146,mak3r_p3p3,-13.19,0
4147,d2alme,-35.18,1
4148,pchelovod85,-75.29,0
4149,Cirotka82,3.0,15
4150,Aslan15.rus,-82.35,0
4151,Finanstreyd,28.61,5
4152,denismmo,0.03,0
4153,vladimir101975,-92.64,1
4154,rakova75,115.35,3
4155,rrr_,-2.56,0
4156,Rozeta,30.5,242
4157,le1ze48,32.7,1
4158,qwertyuii,-40.8,1
4159,MintBerryPie,45.26,77
4160,ajedrista,16.27,6
4161,eshkinin,0.0,0
4162,sokolovata,22.59,4
4163,Astutus,6.57,0
4164,Polonium,-23.27,43
4165,OlgaKamaz,19.9,18
4166,SSSR777,4.26,2
4167,Vsxlf,211.09,1
4168,lvkarmane,7.05,17
4169,Ggovorun,-94.38,0
4170,Kayot1705,27.31,2
4171,GHAD,-27.0,2
4172,Artem675,118.38,9
4173,Andrey_Bulygin,60.08,29
4174,Sly_Investor,5.47,0
4175,dshevs,2.28,0
4176,tsukerin,0.0,0
4177,Sam0uchka,-5.07,0
4178,LaNFaKT,-49.8,3
4179,rdcode,-216.66,16
4180,Paveldobrodr,-88.03,2
4181,Bas.invest,-43.59,2
4182,mamamimanya,12.46,7
4183,Artem_2021,-24.29,5
4184,LiliRich,53.81,29
4185,Stella12,20.5,853
4186,Maker_man,51.43,2
4187,ivan337,-22.66,1
4188,Kupi_Grechu,6.16,1
4189,yakov1981,1.36,3
4190,Int_and_liot,-6.86,0
4191,kliks,-236.87,6
4192,Anjaia,-60.81,15
4193,bigtrans_rf,-171.26,1
4194,Zloy_Charlie,29.09,43
4195,Zeoshima,6.96,5
4196,Sergei1732,-5.15,225
4197,Bruce_Wayne_original,31.19,106
4198,alex52910,-37.78,7
4199,akop21,99.98,0
4200,ImMichaelB,32.08,0
4201,LEROYSANE,0.21,1
4202,Jozef1966,2.94,1
4203,GenesisO6,-110.38,22
4204,etodimka,10.16,8
4205,Shplint,33.27,1
4206,nDrewPJ,-242.05,2
4207,Moscad,-286.19,11
4208,Suhov18,-0.35,0
4209,941ant,-34.03,1
4210,billiboncik,81.56,0
4211,Sommmm,0.0,0
4212,ibn_Ali,19.78,3
4213,JPXL,-4.61,5
4214,Slastenka22,197.36,495
4215,f1rstrf,-3.22,3
4216,DobbyBpi,16.29,5
4217,Indrik108,18.9,17
4218,Kotopsina,5.37,385
4219,didun,0.0,0
4220,Marine09,-88.0,0
4221,PlGIV,-42.2,0
4222,dusembekovrasyl,-44.39,1
4223,GordonTrading,-50.58,23
4224,NeTrozhSlona,0.0,0
4225,Ksjska,6.47,5
4226,ZX6R,6.99,7
4227,vlad11,19.52,10
4228,McScrooge,15.58,71
4229,Jonny_Bek,14.59,242
4230,Foxlife7,33.21,0
4231,Karlain,36.63,0
4232,AID678,0.0,0
4233,Francis_Morgan,23.63,95
4234,Mr.Fetisov,22.46,13
4235,Beowulf47,-93.82,8
4236,Babityago,16.92,0
4237,vlad_forever,22.22,40
4238,snowgirafa,26.63,0
4239,OverMoney,-84.99,39
4240,nagibator5000,104.01,524
4241,_lexa80_,-6.64,2
4242,MamaSanSan,-178.67,3
4243,Hor_Over,-15.02,2
4244,crazyblondy,37.16,63
4245,vdsa,38.55,3
4246,RocketLaunch,54.33,0
4247,batman79,13.35,0
4248,Proshin,-370.82,2
4249,k2k,43.97,1
4250,Maverick2003,20.07,1
4251,Pavel_1987,2.07,5
4252,1daitedve,28.85,17
4253,FilRosta,19.05,38
4254,Money_puli,0.0,0
4255,knike,5.54,5
4256,InvestTimes,0.0,0
4257,Inv_Ni,0.0,0
4258,kartaviy_investor,3.2,16
4259,masqchain,51.47,0
4260,ROMA063,4.27,0
4261,Krissssssssssti,2.17,0
4262,Irina03031986,45.5,1
4263,vinovaty_zvyozdy,-20.97,60
4264,Valerik1,10.62,18
4265,billabonGG,-73.96,3
4266,walter_,41.77,1
4267,LunarXSara,-9.02,9
4268,RussIvan,18.12,2
4269,Saha_mel,-114.6,247
4270,dokkokos,16.31,1
4271,Julia_pa,9.64,0
4272,Wistpon,23.07,0
4273,LGreyMane,-216.14,3
4274,vinsler,9.48,13
4275,Se_machka,13.41,11
4276,SANbI4,9.32,0
4277,Zlo_i_Bob,31.13,2
4278,Tvaryuga,-4.33,0
4279,OliaV,18.61,0
4280,baboba,4.71,4
4281,Nkha,-7.27,0
4282,kostas_tlt,9.17,5
4283,vovazhevnov,10.26,0
4284,iDoronin,-13.34,0
4285,Tnikoff,-3.44,2
4286,bootleggerOK,23.7,5
4287,Dima_44,-29.94,31
4288,Remmalina,17.66,4
4289,eugene_braham,4.27,0
4290,lotya87,41.68,1
4291,KotVSapogaHiBelayaKoshe4,42.57,3
4292,LoMiK38,-15.9,0
4293,NklSrgnk,23.97,1
4294,Lana111,13.75,0
4295,SPavel41,13.19,3
4296,Zai4ishko,12.28,0
4297,inoksi,-34.47,49
4298,Alina_Abv,-35.48,0
4299,snegg84,0.0,0
4300,londonlol,37.25,23
4301,Geka75ru,3.45,0
4302,voveka.st,20.6,1
4303,Vaan32,-4.3,1
4304,JustHold,52.98,606
4305,nasibov07,-9.51,88
4306,ActiveIncome_,-65.78,6
4307,AleksanderMakukha,-20.94,14
4308,Uperinvest,11.11,0
4309,Belk_invest,-11.51,2
4310,AlfieSolomons,-8.92,16
4311,Demfeo,0.0,0
4312,Igorek161,0.0,0
4313,Mosavi,0.54,2
4314,Nikita_6,-82.08,0
4315,1xberg,5.46,4
4316,chaplin014,-72.31,2
4317,TKirillF,-42.25,6
4318,VALERDO,-200.87,88
4319,_marisha_,90.76,145
4320,SpectatoR,20.72,42
4321,Professor001,3.04,1
4322,ElDiabloDeCafe,-9.69,3
4323,DungeonMaster001,-9.61,4
4324,danil_zhdanov,2.24,0
4325,Bogdan1238,-21.26,0
4326,pssubbotin,0.0,0
4327,pro100_tak,0.0,0
4328,_Ramses_,-1.49,38
4329,kolya3731,-99.29,39
4330,AbakadoNT,-2.72,3
4331,BeCoo1,0.0,0
4332,difissh,-20.42,16
4333,shinshilla26,9.24,0
4334,ChistaPosmotret,26.46,12
4335,BaLUnA,24.74,1
4336,Hitsy,24.01,5
4337,pashlik,4.57,0
4338,SerafimaS,-129.58,0
4339,SergeyISS,-22.83,1231
4340,Magomed50,0.0,0
